player_id,name,svpts,aces,df,pct_1stIn,pct_1stWon,pct_2ndWon,pct_SvPtsWon,bp_faced,pct_bp_conv,pct_bp_saved,pct_1stRetPtsWon,pct_2ndRetPtsWon,Grass winRt,Hard winRt,Clay winRt,G winRt,A winRt,M winRt,F winRt,O winRt,recPerf
210097,Ben Shelton,7232.0,799.0,354.0,0.644,0.758,0.524,0.675,504.0,0.383,0.671,0.26,0.453,0.4,0.593,0.444,0.667,0.541,0.481,0.0,0.0,0.5929085487631744
103602,Fernando Gonzalez,29519.0,2499.0,1174.0,0.617,0.747,0.523,0.661,2126.0,0.397,0.648,0.301,0.494,0.655,0.628,0.699,0.671,0.7,0.594,0.4,0.833,0.5311943357912591
111794,Kamil Majchrzak,4165.0,287.0,130.0,0.605,0.713,0.508,0.632,358.0,0.362,0.612,0.254,0.507,0.286,0.471,0.4,0.286,0.516,0.4,0.0,0.0,0.4501556908438798
111795,Filippo Baldi,221.0,13.0,10.0,0.633,0.636,0.556,0.606,25.0,0.375,0.64,0.25,0.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111797,Nicolas Jarry,15499.0,1690.0,484.0,0.638,0.744,0.524,0.664,1104.0,0.364,0.652,0.259,0.463,0.471,0.453,0.592,0.385,0.57,0.514,0.0,0.0,0.49928150359692536
103607,Victor Estrella,8470.0,390.0,273.0,0.648,0.669,0.498,0.609,805.0,0.401,0.58,0.22,0.47,0.235,0.304,0.562,0.286,0.474,0.182,0.0,0.0,0.2824433928931904
111805,Seong Chan Hong,119.0,9.0,6.0,0.454,0.685,0.446,0.555,16.0,0.2,0.562,0.167,0.426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111815,Cameron Norrie,24182.0,1464.0,825.0,0.649,0.708,0.505,0.637,2035.0,0.42,0.629,0.293,0.511,0.556,0.586,0.626,0.577,0.628,0.539,0.0,0.0,0.5685087614730421
103623,Jacob Adaktusson,112.0,5.0,3.0,0.536,0.65,0.423,0.545,12.0,0.25,0.583,0.2,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103626,Tomas Tenconi,119.0,2.0,8.0,0.664,0.608,0.35,0.521,11.0,0.25,0.364,0.228,0.566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103632,Luis Horna,10007.0,712.0,346.0,0.67,0.703,0.501,0.636,806.0,0.379,0.607,0.225,0.47,0.0,0.341,0.489,0.304,0.483,0.346,0.0,0.0,0.34357723972652676
210136,Mark Lajal,128.0,15.0,3.0,0.648,0.819,0.578,0.734,3.0,0.2,1.0,0.205,0.508,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
103646,Lars Uebel,54.0,3.0,2.0,0.519,0.643,0.385,0.519,9.0,0.0,0.556,0.071,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103653,Jasper Smit,82.0,9.0,9.0,0.488,0.8,0.476,0.634,7.0,0.4,0.429,0.625,0.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210150,Jakub Mensik,1609.0,166.0,56.0,0.585,0.721,0.51,0.633,135.0,0.419,0.674,0.242,0.495,0.0,0.643,0.5,0.6,0.714,0.5,0.0,0.0,0.7405119179604567
103656,Albert Montanes,36025.0,1646.0,1515.0,0.602,0.695,0.499,0.617,3310.0,0.4,0.588,0.291,0.498,0.389,0.364,0.557,0.423,0.54,0.395,0.0,0.0,0.19808831803976307
