player_id,hand,dob,ioc,height,wikidata_id,name
100101,R,19450629.0,CAN,,Q1563966,Mike Belkin
100102,R,19450816.0,MEX,,Q1565143,Joaquin Loyo Mayo
100103,R,19450829.0,GBR,,Q3376525,Peter Curtis
100104,R,19450908.0,JAM,,,Richard Russell
100105,R,19451014.0,AUS,,Q1260060,Allan Stone
100106,R,19451115.0,GBR,173.0,Q5593283,Graham Stilwell
100107,R,19451118.0,AUS,,,Robert Rheinberger
100108,R,19451225.0,GBR,,,Chris Bovett
100109,R,19451228.0,JPN,,Q16267024,Jun Kuki
100110,R,19460111.0,AUS,180.0,Q13848246,Terry Addison
100111,R,19460117.0,AUS,,Q7297691,Ray Keldie
100112,R,19460219.0,GBR,,Q6226389,John Clifton
100113,R,19460301.0,CZE,175.0,Q317431,Jan Kodes
100114,R,19460323.0,AUS,,Q1258947,Ray Ruffels
100115,R,19460603.0,CHI,180.0,Q1258592,Jaime Fillol
100116,R,19460606.0,USA,188.0,Q984213,Sherwood Stewart
100117,R,19460613.0,USA,188.0,Q18030909,Butch Seewagen
100118,L,19460616.0,COL,,Q1281826,Ivan Molina
100119,R,19460719.0,ROU,183.0,Q106113,Ilie Nastase
100120,R,19460812.0,RSA,180.0,Q1565123,Robert Maud
100121,R,19460824.0,RSA,183.0,Q1563090,Raymond Moore
100122,R,19460825.0,ARG,,Q22004451,Julian Ganzabal
100123,R,19460908.0,BEL,,Q23023184,Patrick Hombergen
100124,R,19461017.0,USA,,,Steve Turner
100125,R,19461104.0,AUS,,Q1260301,John Cooper
100126,R,19461214.0,USA,193.0,Q54657,Stan Smith
100127,R,19460119.0,USA,180.0,Q1258917,Tom Gorman
100128,R,19461231.0,USA,175.0,Q1565885,Cliff Richey
100129,R,19470117.0,FRA,,Q1563100,Jean Baptiste Chanfreau
100130,R,19470201.0,CZE,,Q1261168,Vladimir Zednik
100131,R,19470207.0,USA,,,Guillermo Oropez
100132,R,19470319.0,USA,,Q18085277,Armistead Neely
100133,R,19470321.0,RSA,,Q7143331,Pat Cramer
100134,R,19470330.0,USA,175.0,Q18240972,Roy Barth
100135,R,19470415.0,NZL,188.0,Q939026,Onny Parun
100136,R,19470504.0,VEN,,Q22005197,Humphrey Hose
100137,R,19470523.0,GER,178.0,Q95218,Hans Jurgen Pohmann
100138,R,19470527.0,USA,,,Dan Bleckinger
100139,R,19470527.0,GBR,178.0,Q1565118,Gerald Battrick
100140,R,19470601.0,USA,,,Steve Faulk
100141,R,19470613.0,CRO,,Q1290977,Zeljko Franulovic
100142,R,19470808.0,HUN,,Q1563115,Peter Szoke
100143,R,19470829.0,USA,180.0,Q87758114,Peter Fishbach
100144,R,19470829.0,USA,180.0,Q888085,Bob Lutz
100145,R,19470929.0,USA,,Q3026568,Dick Dell
